Date,グロース,スタンダード,プライム,TOPIX
2021-04-30,100.0,100.0,100.0,100.0
2021-05-07,100.0,100.8695652173913,102.09205020920503,101.83380394470667
2021-05-14,95.73225150493036,99.16888398631195,99.3876611072782,99.21927680377614
2021-05-21,98.02899261894538,99.73666874696622,100.24029290283158,100.33978843560351
2021-05-28,97.6401179941003,99.85006957041674,100.50730157423038,102.59187457855698
2021-06-04,97.2084580053744,100.40049069129743,100.95652005471429,103.2108690155091
2021-06-11,99.77941176470588,100.8163401306144,101.095307863898,102.93851146325017
2021-06-18,98.17232375979113,100.5921539600296,100.57720640023864,102.54551584625757
2021-06-25,97.86474164133739,100.69397874010131,101.31913888681731,103.3931431220499
2021-07-02,98.21428571428571,100.78156973654472,101.06463878326997,103.0591495279838
2021-07-09,94.8936170212766,99.70796460176992,99.14893617021276,100.74490053944707
2021-07-16,95.24550608159018,100.27155465037339,100.65359477124183,101.78849881995956
2021-07-21,92.86437246963563,99.64871194379391,99.6141975308642,100.32503792987188
2021-07-30,91.36363636363637,99.08311924603909,99.67914438502675,100.14961227242077
2021-08-06,87.11424789672179,98.34254143646409,99.86772486772487,101.63835974376263
2021-08-13,89.8686835106383,99.16683243663347,100.96562538686914,103.06336395819287
2021-08-20,85.74879227053141,96.37462235649546,98.10640216411181,99.07493256911665
2021-08-27,89.76545842217483,98.20325659741718,100.32502708559046,101.60833192852326
2021-09-03,90.97222222222221,99.25650557620817,103.37243401759531,106.17466706001349
2021-09-10,92.26519337016575,100.56820016142049,106.53753026634382,110.18891183412003
2021-09-17,91.65247018739353,100.55768729856973,107.72946859903381,110.63774865138234
2021-09-24,90.93207851789646,100.53333333333335,106.92870834688254,110.14149949426837
2021-10-01,90.18121372842921,99.57765716087943,102.05811138014529,104.6395608563722
2021-10-08,88.58245233217886,98.53479853479854,101.17845117845117,103.35099881995953
2021-10-15,87.99056664728306,99.0228013029316,102.84511775639413,106.62139666217128
2021-10-22,86.2707963318714,98.51851851851852,101.75668589407448,105.47823246797033
2021-10-29,87.71551724137932,98.42312474098632,101.47123812566919,105.42291807147674
2021-11-05,88.73844815834433,98.79154078549848,102.56282126414071,107.54277646662172
2021-11-12,87.38404452690168,98.17861339600469,101.95601148832156,107.49957855697909
2021-11-19,87.8048780487805,97.51479289940829,100.3327608415629,107.70661244099797
2021-11-26,84.72789115646259,96.05488243223004,98.03002805800983,104.569495954147
2021-12-03,80.49242424242425,94.51776649746193,97.12411740985317,103.14080411328388
2021-12-10,79.35606060606061,95.63336148273257,98.50187265917602,104.069032366824
2021-12-17,76.73611111111111,95.12295288168852,98.39639965027445,104.54262896156439
2021-12-24,77.75729665910929,93.9916935856022,97.57281553398059,104.6643206338503
2021-12-30,78.00813062047379,94.9367088607595,98.72521246458923,104.95669672960216
2022-01-07,72.6505478425976,94.24414631885094,98.10000328171662,105.13317599460552
2022-01-14,71.25645438898451,94.27307969532269,98.15306285281152,104.18387559002022
2022-01-21,68.39784419402254,92.09271117560158,95.63215965359055,101.52457012811868
2022-01-28,64.28571428571429,90.01706484641639,94.22905525846701,98.8752739379636
2022-02-04,66.52524425983523,92.20906873296025,96.87241688571476,101.70262980445044
2022-02-10,67.99544419134396,93.24873096446701,97.96044596374156,103.39103590694538
2022-02-18,64.70543345543345,92.13752804725677,97.01093833416736,101.37337744436951
2022-02-25,63.98798749382919,91.32312062670465,95.57197664236904,98.84103169251517
2022-03-04,66.26663479161687,91.0299003322259,94.10548086866598,97.19213587322994
2022-03-11,63.49206349206349,89.25952803311294,92.63913824057451,94.80044672960216
2022-03-18,68.46456692913387,92.35559735243866,96.33911368015416,100.5810645650708
2022-03-25,69.60370926832421,93.5948717948718,97.96791443850267,104.38458782872556
2022-04-01,71.42961235791316,92.26707085807621,96.67892156862746,102.42487778152393
2022-04-08,71.48733216866383,91.51719619932021,94.74938320055108,99.92361345246123
2022-04-15,70.65479657209418,90.8879614484415,94.18973445117447,99.898326871207
2022-04-22,68.26923076923077,91.0922633383307,94.45854985087735,100.36402140930547
2022-04-28,67.10022953328233,90.56944412807604,94.9878452201125,100.07269892110587
2022-05-06,66.82880533972988,90.68665563826855,96.2278242818022,100.93086227242077
2022-05-13,63.96099901574803,89.67065868263472,94.54299754299754,98.2067599460553
2022-05-20,64.17730581728351,90.00969042882363,94.83370031395961,98.90056051921779
2022-05-27,65.15151515151516,89.65517241379311,94.5030720218455,99.42367666891437
2022-06-03,66.83748854433577,90.69331857248778,97.12644793891153,101.83854517869185
2022-06-10,67.71084337349397,91.67085703273905,97.02444208289054,102.36271493594064
2022-06-17,62.05049732211171,89.45557005737282,93.3403101512701,96.7159052596089
2022-06-24,66.04477611940298,90.31866614703787,95.0485869642778,98.33951449763993
2022-07-01,64.34733798539767,90.11473192863063,94.47102939536,97.19740391099123
2022-07-08,65.23433231270425,90.34181240063593,95.98796389167502,99.43052511800406
2022-07-15,66.66666666666666,90.05872362887355,96.27209838585703,99.69761463250168
2022-07-22,67.3396674584323,91.1411514970381,98.99735566328779,103.04123819959541
2022-07-29,68.62745098039215,91.61793372319687,98.87640449438202,102.21626348617667
2022-08-05,68.19444444444444,91.19365260669608,99.02697169859951,102.5776508766015
2022-08-12,68.44678754099475,91.71014071384441,100.15181442351859,103.94786749831424
2022-08-19,68.85838150289018,92.02127659574468,100.69852329629863,105.0720667565745
2022-08-26,69.05982905982906,92.78153153153153,100.44574138272881,104.28554871881322
2022-09-02,68.28828828828829,91.42394822006472,98.0,101.68208445718139
2022-09-09,69.69540526587507,91.49940968122786,99.22922252010724,103.54486260957518
2022-09-16,68.63468634686348,90.8506075768406,98.2767109798129,102.124072825354
2022-09-22,68.59756097560977,90.39062601320244,98.03270884520884,100.94192515171949
2022-09-30,64.87951807228916,88.4990253411306,95.57481575799667,96.71801247471342
2022-10-07,66.55656482246077,89.4310131487701,98.51158309311879,100.45094403236683
2022-10-14,64.63414634146342,88.86593204775022,97.91386271870795,99.99736598111936
2022-10-21,67.41793238608525,89.4282786660871,97.51243781094527,99.14341706001349
2022-10-28,66.75858176476987,89.11174785100286,97.26507713884993,100.04267110586649
2022-11-04,65.07042253521126,89.17363803305449,97.22564734895191,100.90399527983817
2022-11-11,66.7939424436949,89.76076555023923,99.50535861500413,104.18914362778153
2022-11-18,68.11526761402314,90.26657931868576,99.61873638344227,103.6238831759946
2022-11-25,69.76718414240355,91.84100418410041,102.69662921348315,106.3090020229265
2022-12-02,69.41465230178869,91.20171673819742,98.82978723404256,102.93640424814565
2022-12-09,67.91907514450867,91.22241944906304,99.22153356070706,103.33572151045178
2022-12-16,67.82334384858044,91.22597424255592,99.18046664567811,102.73779922454484
2022-12-23,63.43940419769803,89.47799461147102,97.5905973192166,99.98419588671612
2022-12-30,64.42577030812325,89.79591836734694,98.0736405754694,99.65599713418746
2023-01-06,64.56043956043956,89.71774193548387,96.22317318290865,98.81574511126095
2023-01-13,65.71448791718996,89.91417857784393,97.0109663583123,100.25497302764666
2023-01-20,66.80781758957654,90.35292595530206,98.3549192526721,101.50823921105865
2023-01-27,69.27667493796525,91.75675675675676,100.87444431706727,104.44727747808497
2023-02-03,69.41935483870968,91.55555555555556,99.85287159644041,103.79404079568442
2023-02-10,69.19685207054769,92.01127819548873,101.01636749638661,104.67380310182064
2023-02-17,69.39585929008828,92.33333333333333,101.66326471651203,104.93562457855698
2023-02-24,70.81462243652092,93.17269076305222,102.62345679012346,104.74966284558329
2023-03-03,73.48370927318297,94.21052631578948,104.49611310267048,106.38907619689817
2023-03-10,71.5885916765959,95.06781001033875,105.81044719054111,107.02440155091031
2023-03-17,69.51140065146579,93.22448979591836,101.83236998164284,103.22298550236009
2023-03-24,70.14218009478674,93.80281690140845,101.67689161554192,103.006995954147
2023-03-31,70.65243997708453,93.69863013698631,103.33294686134882,105.54513654753876
2023-04-07,69.91426344505066,93.04347826086956,101.50501672240804,103.54012137559003
2023-04-14,72.56532066508314,94.11764705882352,103.96213955535988,106.34693189480782
2023-04-21,70.98039215686275,94.3327239488117,104.69534091520758,107.20772926500337
2023-04-28,71.37767220902613,94.84504776993614,106.13425952482018,108.38882333108563
2023-05-02,71.6867469879518,95.5082572122049,106.8017189812575,109.33970414699934
2023-05-12,72.10093339661447,95.8095680959411,107.33673571325997,110.4386168240054
2023-05-19,71.25806017978483,95.63704380355823,108.81565309360126,113.87864548213082
2023-05-26,70.74829931972789,95.12646760098104,107.40300133517495,113.04366149696561
2023-06-02,73.0687213999885,94.6451379824725,108.21207303031963,114.98546021577883
2023-06-09,74.03465386172769,95.38967611336032,109.75758114088437,117.17801753202967
2023-06-16,76.70326971653103,96.69621273166801,113.9157202329296,121.18383344571815
2023-06-23,78.48939172171896,97.26095447280932,113.36474530323318,119.30683159136886
2023-06-30,79.3419452887538,98.17093021519347,113.92564308181964,120.56431220498989
2023-07-07,77.31092436974791,98.22485207100591,112.58202764458251,118.78898347943358
2023-07-14,75.73033707865169,97.4819410792328,112.0313315926893,117.95663351314903
2023-07-21,75.71428571428571,98.68421052631578,112.996338428579,119.17355023600808
2023-07-28,74.8314606741573,98.40240914659046,113.51775257573979,120.67019976399192
2023-08-04,73.36834208552138,98.41175773379162,112.58467343150936,119.82836732973703
2023-08-10,72.14285714285714,98.4658893143056,114.81506570925349,121.34977663519892
2023-08-18,68.62988220706757,97.0074812967581,111.36394996175073,117.8612820296696
2023-08-25,71.1158053827276,98.02371541501977,113.53459407777899,119.39480782198247
2023-09-01,72.86474164133739,100.0,117.03626919045564,123.78571729602157
