Date,エネルギー資源,不動産,医薬品,商社・卸売,小売,建設・資材,情報通信・サービスその他,機械,素材・化学,自動車・輸送機,運輸・物流,金融（除く銀行）,鉄鋼・非鉄,銀行,電機・精密,電気・ガス,食品,TOPIX
2021-04-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-05-07,104.00025601638505,101.86688311688312,100.64285714285714,101.43769968051117,101.239829275291,101.7658792030022,100.60975609756098,102.16619199195844,101.80192811309585,102.48212749558596,101.13192744193597,102.34162802933152,104.28313796212805,103.17781176123768,101.40350877192984,102.20440881763525,101.11974712787773,101.83380394470667
2021-05-14,102.48850192433045,99.31553441723449,96.68008048289738,99.65729952021934,99.66925276273835,99.32885906040269,97.45508982035929,98.7991266375546,99.64230965763925,99.95836802664446,99.37952430196484,99.02949198438083,100.55291315290651,101.5881708652793,97.92216992961396,99.67652495378928,100.41225743403601,99.21927680377614
2021-05-21,100.13118312953202,100.66126693936368,98.6086336068498,100.13831258644537,100.08882185352775,99.5973154362416,99.30586146137327,99.25301352008731,100.08291873963515,101.3410749152194,99.08576344309513,101.10344827586206,98.68421052631578,101.56009965655599,98.83720930232558,98.63481228668942,100.0,100.33978843560351
2021-05-28,99.96178830722201,100.88673481088341,98.27586206896551,100.66138850324748,100.30706243602864,99.79508196721312,99.1638795986622,99.63985594237695,100.6902994757876,101.98863636363636,99.74457215836526,101.68949213336593,100.60142154182614,100.48872966114347,100.0,98.48621780388612,99.63223002340355,102.59187457855698
2021-06-04,102.7377305632319,101.95294626061315,98.7891019172553,100.84565843093671,101.39970738705489,100.42091148232628,99.10650801712254,100.64829821717991,101.41489407450554,105.87997820250636,101.1204481792717,101.60811207275925,100.60492427652528,100.43158329162387,100.90752956005795,96.9639468690702,99.87421383647799,103.2108690155091
2021-06-11,102.31208889883474,103.24026665574375,102.46164823403497,101.42857142857142,102.34375,100.2824858757062,100.39370078740157,100.0,101.22199592668024,104.44450014607271,102.95798319327729,100.37929443779151,99.49281487743026,97.89915966386555,100.90759075907592,99.2,99.92260061919505,102.93851146325017
2021-06-18,100.47184134458024,101.98717948717947,101.72413793103448,101.33420410153182,101.60818713450293,99.88864142538975,99.90019154855501,98.94259818731118,100.51546391752578,102.84249003784463,101.55916195239791,100.9314950634203,97.58674697706556,98.02032988108937,100.97859327217125,99.26548672566372,99.96143463170074,102.54551584625757
2021-06-25,102.0163024249517,101.51976428431455,102.62137478789333,101.934650997151,101.98581133933484,100.0,100.06497725795971,99.39577039274926,100.75528700906344,103.59550561797752,102.33975615935364,99.63898916967509,98.68780754510662,98.47281888949901,101.33115252089505,98.26589595375722,100.29999999999998,103.3931431220499
2021-07-02,100.40791896869246,101.99173101247901,100.92153870864118,102.42146093781608,101.6231624090225,99.95515695067265,100.30337807127361,98.93097071256038,100.57915057915059,103.23624595469256,102.3041474654378,100.49741383477546,99.01800390782495,98.79940569383646,100.73170731707317,97.6280834914611,100.0,103.0591495279838
2021-07-09,98.58001635512352,100.20714737507905,98.91590627423412,100.5086469989827,100.41518386714117,99.06021541907315,98.9655172413793,98.70004932173119,98.37862134772891,101.68374893782193,100.1851851851852,97.38052552686699,94.91437222064528,96.02308665401645,99.26605504587155,96.77037901869855,99.348566557114,100.74490053944707
2021-07-16,102.26423385555981,101.53511460911815,99.0803853086976,102.33184433027634,101.17340286831814,100.0,99.4236156000862,99.54102920723228,100.0,103.26086956521738,101.31490376081969,99.71771873655723,96.24073160368954,96.90332987671391,100.82014899198333,98.34368530020704,100.36862359495564,101.78849881995956
2021-07-21,99.25548665612857,100.39613120923036,96.55004520273908,101.10344827586206,100.27044104965208,99.76151597728084,98.03459119496856,97.71784232365145,98.67330016583747,102.31923601637108,99.69183359013869,98.45500420521446,95.56313993174061,96.39632597224937,99.08700322234156,96.81146025878003,100.53169734151331,100.32503792987188
