Date,Mkt,MktNm,Index,Constituents
2022-01-07,0113,グロース,72.6505478425976,362
2022-01-14,0111,プライム,98.15306285281152,1526
2022-01-14,0112,スタンダード,94.27307969532269,1456
2022-01-14,0113,グロース,71.25645438898451,361
2022-01-21,0111,プライム,95.63215965359055,1526
2022-01-21,0112,スタンダード,92.09271117560158,1448
2022-01-21,0113,グロース,68.39784419402254,359
2022-01-28,0111,プライム,94.22905525846701,1526
2022-01-28,0112,スタンダード,90.01706484641639,1433
2022-01-28,0113,グロース,64.28571428571429,361
2022-02-04,0111,プライム,96.87241688571476,1526
2022-02-04,0112,スタンダード,92.20906873296025,1440
2022-02-04,0113,グロース,66.52524425983523,362
2022-02-10,0111,プライム,97.96044596374156,1526
2022-02-10,0112,スタンダード,93.24873096446701,1455
2022-02-10,0113,グロース,67.99544419134396,363
2022-02-18,0111,プライム,97.01093833416736,1526
2022-02-18,0112,スタンダード,92.13752804725677,1448
2022-02-18,0113,グロース,64.70543345543345,362
2022-02-25,0111,プライム,95.57197664236904,1526
2022-02-25,0112,スタンダード,91.32312062670465,1474
2022-02-25,0113,グロース,63.98798749382919,366
2022-03-04,0111,プライム,94.10548086866598,1527
2022-03-04,0112,スタンダード,91.0299003322259,1451
2022-03-04,0113,グロース,66.26663479161687,366
2022-03-11,0111,プライム,92.63913824057451,1527
2022-03-11,0112,スタンダード,89.25952803311294,1418
2022-03-11,0113,グロース,63.49206349206349,367
2022-03-18,0111,プライム,96.33911368015416,1527
2022-03-18,0112,スタンダード,92.35559735243866,1462
2022-03-18,0113,グロース,68.46456692913387,367
2022-03-25,0111,プライム,97.96791443850267,1527
2022-03-25,0112,スタンダード,93.5948717948718,1486
2022-03-25,0113,グロース,69.60370926832421,368
2022-04-01,0111,プライム,96.67892156862746,1528
2022-04-01,0112,スタンダード,92.26707085807621,1454
2022-04-01,0113,グロース,71.42961235791316,368
2022-04-08,0111,プライム,94.74938320055108,1528
2022-04-08,0112,スタンダード,91.51719619932021,1424
2022-04-08,0113,グロース,71.48733216866383,370
2022-04-15,0111,プライム,94.18973445117447,1528
2022-04-15,0112,スタンダード,90.8879614484415,1428
2022-04-15,0113,グロース,70.65479657209418,370
2022-04-22,0111,プライム,94.45854985087735,1528
2022-04-22,0112,スタンダード,91.0922633383307,1452
2022-04-22,0113,グロース,68.26923076923077,371
2022-04-28,0111,プライム,94.9878452201125,1528
2022-04-28,0112,スタンダード,90.56944412807604,1446
2022-04-28,0113,グロース,67.10022953328233,371
2022-05-06,0111,プライム,96.2278242818022,1528
2022-05-06,0112,スタンダード,90.68665563826855,1460
2022-05-06,0113,グロース,66.82880533972988,372
2022-05-13,0111,プライム,94.54299754299754,1528
2022-05-13,0112,スタンダード,89.67065868263472,1455
2022-05-13,0113,グロース,63.96099901574803,376
2022-05-20,0111,プライム,94.83370031395961,1528
2022-05-20,0112,スタンダード,90.00969042882363,1444
2022-05-20,0113,グロース,64.17730581728351,374
2022-05-27,0111,プライム,94.5030720218455,1528
2022-05-27,0112,スタンダード,89.65517241379311,1437
2022-05-27,0113,グロース,65.15151515151516,373
2022-06-03,0111,プライム,97.12644793891153,1528
2022-06-03,0112,スタンダード,90.69331857248778,1444
2022-06-03,0113,グロース,66.83748854433577,374
2022-06-10,0111,プライム,97.02444208289054,1529
2022-06-10,0112,スタンダード,91.67085703273905,1444
2022-06-10,0113,グロース,67.71084337349397,377
2022-06-17,0111,プライム,93.3403101512701,1529
2022-06-17,0112,スタンダード,89.45557005737282,1462
2022-06-17,0113,グロース,62.05049732211171,377
2022-06-24,0111,プライム,95.0485869642778,1528
2022-06-24,0112,スタンダード,90.31866614703787,1462
2022-06-24,0113,グロース,66.04477611940298,377
2022-07-01,0111,プライム,94.47102939536,1530
2022-07-01,0112,スタンダード,90.11473192863063,1458
2022-07-01,0113,グロース,64.34733798539767,382
2022-07-08,0111,プライム,95.98796389167502,1531
2022-07-08,0112,スタンダード,90.34181240063593,1456
2022-07-08,0113,グロース,65.23433231270425,384
2022-07-15,0111,プライム,96.27209838585703,1531
2022-07-15,0112,スタンダード,90.05872362887355,1442
2022-07-15,0113,グロース,66.66666666666666,380
2022-07-22,0111,プライム,98.99735566328779,1531
2022-07-22,0112,スタンダード,91.1411514970381,1460
2022-07-22,0113,グロース,67.3396674584323,383
2022-07-29,0111,プライム,98.87640449438202,1531
2022-07-29,0112,スタンダード,91.61793372319687,1455
2022-07-29,0113,グロース,68.62745098039215,387
2022-08-05,0111,プライム,99.02697169859951,1532
2022-08-05,0112,スタンダード,91.19365260669608,1446
2022-08-05,0113,グロース,68.19444444444444,387
2022-08-12,0111,プライム,100.15181442351859,1532
2022-08-12,0112,スタンダード,91.71014071384441,1476
2022-08-12,0113,グロース,68.44678754099475,388
2022-08-19,0111,プライム,100.69852329629863,1532
2022-08-19,0112,スタンダード,92.02127659574468,1475
2022-08-19,0113,グロース,68.85838150289018,385
2022-08-26,0111,プライム,100.44574138272881,1532
2022-08-26,0112,スタンダード,92.78153153153153,1478
2022-08-26,0113,グロース,69.05982905982906,388
2022-09-02,0111,プライム,98.0,1533
2022-09-02,0112,スタンダード,91.42394822006472,1479
2022-09-02,0113,グロース,68.28828828828829,387
2022-09-09,0111,プライム,99.22922252010724,1533
2022-09-09,0112,スタンダード,91.49940968122786,1467
2022-09-09,0113,グロース,69.69540526587507,389
2022-09-16,0111,プライム,98.2767109798129,1533
2022-09-16,0112,スタンダード,90.8506075768406,1475
2022-09-16,0113,グロース,68.63468634686348,389
2022-09-22,0111,プライム,98.03270884520884,1534
2022-09-22,0112,スタンダード,90.39062601320244,1476
2022-09-22,0113,グロース,68.59756097560977,389
2022-09-30,0111,プライム,95.57481575799667,1534
2022-09-30,0112,スタンダード,88.4990253411306,1455
2022-09-30,0113,グロース,64.87951807228916,391
2022-10-07,0111,プライム,98.51158309311879,1538
2022-10-07,0112,スタンダード,89.4310131487701,1446
2022-10-07,0113,グロース,66.55656482246077,397
2022-10-14,0111,プライム,97.91386271870795,1539
