Date,その他製品,その他金融業,ガラス･土石製品,ゴム製品,サービス業,パルプ・紙,不動産業,保険業,倉庫･運輸関連業,化学,医薬品,卸売業,小売業,建設業,情報･通信業,機械,水産・農林業,海運業,石油･石炭製品,空運業,精密機器,繊維製品,証券･商品先物取引業,輸送用機器,金属製品,鉄鋼,鉱業,銀行業,陸運業,電気機器,電気･ガス業,非鉄金属,食料品,TOPIX
2021-04-30,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2021-05-07,101.2790450378724,102.16714654148984,102.84878487848785,102.81368821292776,100.79903147699758,103.56142429099016,101.86688311688312,103.49874888546941,100.56925996204933,101.88198103266598,100.64285714285714,101.43769968051117,101.239829275291,101.7658792030022,100.20641172326566,102.16619199195844,100.77600833992378,105.9670781893004,104.03225806451613,101.2841395109341,100.69721115537848,101.49443886471003,102.64135788011836,102.39952009598082,101.43857634902412,104.10692722417811,103.96825396825398,103.17781176123768,100.82517309910162,101.45362567429837,102.20440881763525,104.92505353319058,101.11974712787773,101.83380394470667
2021-05-14,99.95890185763604,100.8751675852823,98.70430274151266,101.7017655237068,98.18121693121694,100.96092400984378,99.31553441723449,104.3966218966219,99.5787385619521,99.51305430289983,96.68008048289738,99.65729952021934,99.66925276273835,99.39837398373983,95.85253456221197,98.7991266375546,100.19464109298357,96.2800875273523,101.95828011919966,98.19563499642366,98.54014598540147,99.67914438502675,97.8620019436346,99.78180861760472,99.59930007350826,100.67756078118772,105.17241379310344,101.5881708652793,99.45014553756388,97.62979683972912,99.67652495378928,100.42826552462527,100.41225743403601,99.21927680377614
2021-05-21,100.5249343832021,104.25855826201449,98.13829787234043,105.82876709389791,100.0,100.38466402326873,100.66126693936368,101.41548709408825,100.46388336646785,99.92542878448918,98.6086336068498,100.13831258644537,100.08882185352775,100.06565988181222,97.72727272727273,99.25301352008731,98.61827662702964,94.77502393362408,100.09208103130756,99.38212489129901,99.28952042628775,100.11031439602868,99.16299853274643,100.9735650590333,99.57173447537473,99.63711803800248,100.26809651474531,101.56009965655599,98.80525686977299,98.70934746983711,98.63481228668942,98.02631578947368,100.06410256410257,100.33978843560351
2021-05-28,100.85334522706948,104.45045488074749,97.75331849286833,105.1775147928994,100.52687729280527,100.75327013789675,100.88673481088341,102.8274776337507,100.51563688425573,100.74404761904762,98.27586206896551,100.66138850324748,100.30706243602864,100.0,97.48743718592965,99.63985594237695,97.34661358665828,97.16228199822642,100.0,104.00435526695202,101.08786610878661,100.60071301247771,100.29411764705883,101.93115040898981,99.75124378109453,100.38910204964024,97.63546798029556,100.48872966114347,99.72377122769748,99.77162143403402,98.48621780388612,101.37741046831957,100.0,102.59187457855698
2021-06-04,101.16278088109077,106.18609334699502,98.1145025381287,106.93906953033225,100.90032191574608,100.50239664611497,101.95294626061315,103.87626914472551,101.87826667587667,100.9900998560787,98.7891019172553,100.84565843093671,101.39970738705489,100.56430869496896,96.7708247873766,100.64829821717991,97.32574314105238,100.68230277185502,102.76243093922652,110.69438983196834,101.29870129870129,102.0830398647697,99.45621039840292,105.7085473766239,100.5815627012082,101.0,101.23152709359606,100.43158329162387,100.93428204195706,100.80558539205155,96.9639468690702,100.22742779167615,100.0,103.2108690155091
2021-06-11,100.73712163975756,106.10544818570469,98.66075349846025,106.75011636411995,101.91532258064515,99.36674141828931,103.24026665574375,99.94249429673783,101.50129608294931,100.31397174254317,102.46164823403497,101.42857142857142,102.34375,100.34202713206682,98.44588338806048,100.0,98.33227693807899,101.06609808102345,102.59839510890333,115.1983194317956,102.74619180433385,103.5122310639552,99.0731226988612,103.78508579573489,100.32292787944026,99.05804360636418,99.85221674876847,97.89915966386555,104.02298850574712,100.66884899132656,99.2,100.54347826086958,100.10204081632652,102.93851146325017
2021-06-18,100.4231311706629,105.78126574116983,98.62703170182982,104.19753086419755,101.56044789554612,100.87447057678483,101.98717948717947,98.65014034755733,99.75038402457757,100.44247121453003,101.72413793103448,101.33420410153182,101.60818713450293,99.82389682059468,98.28840393667095,98.94259818731118,97.15128775245506,101.70575692963753,101.74542358450405,108.98182996109097,101.4475271411339,101.43589743589743,97.61799821873254,102.68361581920904,100.0,97.28141072740631,96.79802955665025,98.02032988108937,102.22238666074688,100.66313984181741,99.26548672566372,99.1139240506329,100.05219206680584,102.54551584625757
2021-06-25,100.55663790704148,102.33576642335767,98.38882999246971,104.19292267903693,101.28564902870087,99.73408697007598,101.51976428431455,98.11167517543356,101.03626943005182,100.47095761381475,102.62137478789333,101.934650997151,101.98581133933484,100.0,97.82946877683719,99.39577039274926,97.30512617729528,103.63238512035011,103.0,108.17747244722563,101.45985401459853,101.03351587236995,96.67141049968374,103.27304048234281,101.06745460265051,97.2919858573954,100.79365079365078,98.47281888949901,102.55676087395051,101.31752305665349,98.26589595375722,100.0,100.51375888521359,103.3931431220499
2021-07-02,101.31961791868898,102.77185501066097,98.84491954543319,103.23624595469256,101.93798449612403,99.66960352422907,101.99173101247901,98.90938486049806,100.36153289949385,100.49891397282988,100.92153870864118,102.42146093781608,101.6231624090225,99.5725469294944,97.61273209549071,98.93097071256038,98.2142355923098,105.34979423868313,101.0,108.7914040586744,100.08904719501335,101.67153049874625,98.0392156862745,103.20348821770722,100.87421078193297,97.88446782856516,98.12807881773399,98.79940569383646,102.37849017580145,101.0026636843562,97.6280834914611,99.7155858930603,100.29455081001473,103.0591495279838
